Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
ENST00000538884.1,Nucleus|Extracellular,,0.44830000400543213,0.6363999843597412,0.715399980545044,0.05220000073313713,0.38370001316070557,0.01360000018030405,0.0754999965429306,0.023399999365210533,0.05999999865889549,0.031199999153614044
ENST00000538924.7,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.19130000472068787,0.14480000734329224,0.18629999458789825,0.27730000019073486,0.382099986076355,0.0035000001080334187,0.6488000154495239,0.3779999911785126,0.43810001015663147,0.026599999517202377
ENST00000538981.1,Cytoplasm,Nuclear export signal,0.6169000267982483,0.49149999022483826,0.1339000016450882,0.11289999634027481,0.2630000114440918,0.012400000356137753,0.3869999945163727,0.40790000557899475,0.36149999499320984,0.12030000239610672
ENST00000539239.5,Extracellular,Signal peptide,0.23090000450611115,0.10260000079870224,0.8770999908447266,0.1842000037431717,0.1745000034570694,0.013500000350177288,0.2125999927520752,0.13109999895095825,0.1606999933719635,0.004900000058114529
ENST00000540509.5,Cytoplasm|Nucleus,Nuclear localization signal,0.559499979019165,0.5853000283241272,0.031199999153614044,0.3709999918937683,0.09960000216960907,0.04039999842643738,0.07779999822378159,0.21969999372959137,0.17319999635219574,0.015799999237060547
ENST00000540746.6,Cytoplasm|Nucleus,Nuclear localization signal,0.6593999862670898,0.6301000118255615,0.11159999668598175,0.16359999775886536,0.07670000195503235,0.01140000019222498,0.14180000126361847,0.10339999943971634,0.14880000054836273,0.00279999990016222
ENST00000541245.1,Cytoplasm,,0.4104999899864197,0.3239000141620636,0.039799999445676804,0.31189998984336853,0.13289999961853027,0.00800000037997961,0.07519999891519547,0.36579999327659607,0.26589998602867126,0.0035000001080334187
ENST00000541509.5,Cytoplasm,Nuclear export signal,0.602400004863739,0.38519999384880066,0.03790000081062317,0.45179998874664307,0.12780000269412994,0.005200000014156103,0.16590000689029694,0.329800009727478,0.334199994802475,0.010499999858438969
ENST00000541565.5,Endoplasmic reticulum,Signal peptide|Transmembrane domain,0.1088000014424324,0.0738999992609024,0.13539999723434448,0.3628000020980835,0.12020000070333481,0.10360000282526016,0.8700000047683716,0.10769999772310257,0.24210000038146973,0.08229999989271164
ENST00000542035.2,Cytoplasm|Nucleus,Nuclear export signal,0.6359000205993652,0.6448000073432922,0.058800000697374344,0.12600000202655792,0.12849999964237213,0.020099999383091927,0.13510000705718994,0.12849999964237213,0.11309999972581863,0.04820000007748604
ENST00000542547.5,Cytoplasm,Nuclear export signal,0.804099977016449,0.3637000024318695,0.022199999541044235,0.11640000343322754,0.1517000049352646,0.00419999985024333,0.11630000174045563,0.14270000159740448,0.1753000020980835,0.01899999938905239
ENST00000542676.5,Cytoplasm|Lysosome/Vacuole,Nuclear export signal,0.5911999940872192,0.31839999556541443,0.06350000202655792,0.4377000033855438,0.24240000545978546,0.009600000455975533,0.3109999895095825,0.6103000044822693,0.3075000047683716,0.012500000186264515
