# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan> <predicted_active_site_residues>

ENST00000006777.11     58    202     57    203 PF01694.29  Rhomboid          Domain     2   142   143     91.3     1e-25   1 CL0207   
ENST00000007510.9     193    244    193    244 PF14604.13  SH3_9             Domain     1    49    49     38.0   1.8e-09   1 CL0010   
ENST00000007510.9     329    475    329    477 PF00620.33  RhoGAP            Domain     1   146   148    156.2   8.3e-46   1 CL0409   
ENST00000007708.7       1    128      1    128 PF10436.15  BCDHK_Adom3       Family    38   161   161    135.4   2.6e-39   1 No_clan  
ENST00000007708.7     178    297    176    300 PF02518.32  HATPase_c         Domain     3   108   111     50.6   3.8e-13   1 CL0025   predicted_active_site
ENST00000011684.11    166    351    165    351 PF00621.26  RhoGEF            Domain     2   180   180    125.8   3.5e-36   1 CL0852   
ENST00000013807.9      99    219     98    219 PF03834.22  Rad10             Domain     2   122   122    189.5   2.2e-56   1 CL0236   
ENST00000013807.9     239    283    237    285 PF14520.13  HHH_5             Domain     4    49    57     26.7   9.5e-06   1 CL0198   
ENST00000052754.10     54     80     53     80 PF01462.24  LRRNT             Family     2    28    28     40.6   2.3e-10   1 No_clan  
ENST00000052754.10     84    141     81    141 PF13855.13  LRR_8             Repeat     4    61    61     56.1   3.8e-15   1 CL0022   
ENST00000052754.10    151    212    150    212 PF13855.13  LRR_8             Repeat     2    61    61     32.3     1e-07   1 CL0022   
ENST00000052754.10    221    281    221    281 PF13855.13  LRR_8             Repeat     1    61    61     49.0   6.4e-13   1 CL0022   
ENST00000160262.10     31    119     29    119 PF03921.21  ICAM_N            Domain     3    91    91    128.9   7.4e-38   1 CL0159   
ENST00000160262.10    223    312    223    312 PF21146.4   ICAM1_3_5_D2      Domain     1    90    90    118.7   1.8e-34   1 CL0159   
ENST00000161559.11     39    140     38    141 PF07686.24  V-set             Domain     2   108   109     58.9   8.1e-16   1 CL0159   
ENST00000161559.11    146    219    146    219 PF13927.13  Ig_3              Domain     1    78    78     46.8   5.3e-12   1 CL0159   
ENST00000161559.11    240    318    239    318 PF13895.13  Ig_2              Domain     2    79    79     55.7   7.2e-15   1 CL0159   
ENST00000161559.11    335    407    334    408 PF00047.32  ig                Domain     2    79    81     63.0     4e-17   1 CL0159   
ENST00000199320.9      30    255     27    277 PF00398.27  RrnaAD            Domain     4   238   265    233.5   3.7e-69   1 CL0063   
ENST00000215555.7      64    109     64    109 PF12906.14  RINGv             Domain     1    47    47     54.0   2.2e-14   1 CL0229   
ENST00000215829.8       9     72      8     73 PF01423.29  LSM               Domain     2    65    66     63.3     2e-17   1 CL0986   
ENST00000215917.11    139    297    125    297 PF07985.19  SRR1              Domain    16   172   172    168.5     2e-49   1 CL0063   
ENST00000215941.9     118    173    114    173 PF12796.14  Ank_2             Repeat    37    90    90     44.5   2.9e-11   1 CL0465   
ENST00000215941.9     176    206    175    207 PF00023.37  Ank               Repeat     2    32    33     30.9   3.3e-07   1 CL0465   
ENST00000216061.9     129    531    128    532 PF04499.21  SAPS              Family     2   421   422    385.2  6.6e-115   1 No_clan  
ENST00000217109.9       8     60      7     62 PF16699.11  CSTF1_dimer       Domain     3    55    57     71.1   7.9e-20   1 CL0561   
ENST00000217109.9     105    134    100    136 PF00400.39  WD40              Repeat     8    37    39     18.3    0.0043   1 CL0186   
ENST00000217109.9     166    201    164    201 PF00400.39  WD40              Repeat     4    39    39     34.9   2.4e-08   1 CL0186   
ENST00000217109.9     221    245    213    245 PF00400.39  WD40              Repeat    15    39    39     12.3      0.35   1 CL0186   
ENST00000217109.9     260    290    252    290 PF00400.39  WD40              Repeat     9    39    39     26.1   1.4e-05   1 CL0186   
ENST00000217109.9     295    333    294    334 PF00400.39  WD40              Repeat     2    38    39     24.4     5e-05   1 CL0186   
ENST00000217109.9     393    424    388    425 PF00400.39  WD40              Repeat     6    38    39     21.0   0.00059   1 CL0186   
ENST00000217182.6       5    237      5    238 PF00009.34  GTP_EFTU          Domain     1   187   188    201.9   1.1e-59   1 CL0023   predicted_active_site
ENST00000217182.6     260    326    260    327 PF03144.32  GTP_EFTU_D2       Domain     1    72    73     63.3   3.5e-17   1 CL0866   
ENST00000217182.6     339    439    339    439 PF22594.3   GTP-eEF1A_C       Domain     1   101   101    134.4   2.6e-39   1 CL0740   
ENST00000217961.5      22    408     22    408 PF00884.29  Sulfatase         Family     1   301   301    221.7   2.2e-65   1 CL0088   predicted_active_site
